title,heading,content,tokens
Athletics at the 2020 Summer Olympics – Mixed 4 × 400 metres relay,Summary,"The mixed 4 × 400 metres relay event at the 2020 Summer Olympics took place on 30 and 31 July 2021 at the Japan National Stadium. There were 16 competing relay teams, with each team having 4 members (2 men and 2 women). It was the first mixed-gender relay in athletics held at the Olympics Games, as part of a larger focus on gender equality by the International Olympic Committee.",82
Athletics at the 2020 Summer Olympics – Mixed 4 × 400 metres relay,Background,"This was the first appearance of the event, added along with mixed team events in multiple sports for the 2020 Games. The mixed relay was first introduced at the 2017 IAAF World Relays. It was added to the World Championship programme at the 2019 World Athletics Championships.",56
Athletics at the 2020 Summer Olympics – Mixed 4 × 400 metres relay,Qualification,"A National Olympic Committee (NOC) could qualify a relay team of 4 athletes in one of three ways. A total of 16 NOCs qualified.
The top 8 NOCs at the 2019 World Athletics Championships qualified a relay team.
The top 8 NOCs at the 2021 World Athletics Relays qualified a relay team.
Where an NOC placed in the top 8 at both the 2019 World Championships and the 2021 World Relays, the quota place was allocated to the world ranking list as of 29 June 2021. In this case, 3 teams did so, so there are 3 places available through the world rankings.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.",228
Athletics at the 2020 Summer Olympics – Men's decathlon,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's decathlon event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 8350 points. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 24 is reached.The qualifying period was originally from 1 January 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs cannot use their universality place in the decathlon.",246
Athletics at the 2020 Summer Olympics – Men's decathlon,Competition format,"The decathlon consisted of ten track and field events, with a points system that awarded higher scores for better results in each of the ten components. The athletes all competed in one competition with no elimination rounds.",44
Athletics at the 2020 Summer Olympics – Women's 400 metres,Summary,"The women's 400 metres event at the 2020 Summer Olympics took place from 3 to 6 August 2021 at the Japan National Stadium. 45 athletes from 34 nations competed. Shaunae Miller-Uibo won the gold medal in a personal best of 48.36 secs, a time which ranks her sixth on the world all-time list. In successfully defending her title, Miller-Uibo joined Marie-Jose Perec as the only women to win two Olympic 400 metres titles.",99
Athletics at the 2020 Summer Olympics – Women's 400 metres,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the women's 400 metres event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 51.35 seconds. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 48 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets were eligible for qualifying. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one female athlete regardless of time if they had no female athletes meeting the entry standard for an athletics event—in the 400 metres.",325
Athletics at the 2020 Summer Olympics – Men's javelin throw,Summary,The men's javelin throw event at the 2020 Summer Olympics took place on 4 and 7 August 2021 at the Japan National Stadium. Approximately 35 athletes competed; the exact number depended on how many nations use universality places to enter athletes in addition to the 32 qualifying through distance or ranking (one universality place was used in 2016).,71
Athletics at the 2020 Summer Olympics – Men's javelin throw,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's javelin throw event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 85.00 metres. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 32 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the javelin throw.",327
Athletics at the 2020 Summer Olympics – Men's javelin throw,Competition format,"The 2020 competition will continue to use the two-round format with divided final introduced in 1936. The qualifying round gives each competitor three throws to achieve a qualifying distance (83.50 metres; 2016 used 83.00 metres); if fewer than 12 men do so, the top 12 will advance. The final provides each thrower with three throws; the top eight throwers receive an additional three throws for a total of six, with the best to count (qualifying round throws are not considered for the final).",105
Athletics at the 2020 Summer Olympics – Men's discus throw,Summary,"The men's discus throw event at the 2020 Summer Olympics took place between 30 and 31 July 2021 at the Japan National Stadium. Approximately 35 athletes were expected to compete; the exact number depended on how many nations use universality places to enter athletes in addition to the 32 qualifying through distance or ranking (no universality places were used in 2016). 32 athletes from 24 nations competed. Daniel Ståhl of Sweden won gold, with his countryman Simon Pettersson earning silver. It was the first victory in the event for Sweden and the first men's discus throw medal of any color for the nation since 1972. Lukas Weißhaidinger took Austria's first-ever Olympic in the men's discus with his bronze.",152
Athletics at the 2020 Summer Olympics – Men's discus throw,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's discus throw event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 66.00 metres. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 32 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the discus throw.Entry number: 32.",330
Athletics at the 2020 Summer Olympics – Men's discus throw,Competition format,"The 2020 competition will continue to use the two-round format with divided final introduced in 1936. The qualifying round gives each competitor three throws to achieve a qualifying distance (not yet set; 2016 used 65.50 metres); if fewer than 12 men do so, the top 12 will advance. The final provides each thrower with three throws; the top eight throwers receive an additional three throws for a total of six, with the best to count (qualifying round throws are not considered for the final).",104
Athletics at the 2020 Summer Olympics – Women's 200 metres,Summary,"The women's 200 metres event at the 2020 Summer Olympics took place on 2 and 3 August 2021 at the Japan National Stadium. 41 athletes from 31 nations competed. In successfully defending her title, Elaine Thompson-Herah became the first woman in history to win both the 100 and 200 metres titles at successive games. Her winning time of 21.53 secs, moved her to second on the world all-time list behind Florence Griffith-Joyner, and broke Merlene Ottey's 30-year-old Jamaican record.",111
Athletics at the 2020 Summer Olympics – Women's 200 metres,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the women's 200 metres event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 22.80 seconds. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 56 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets were eligible for qualification. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one female athlete regardless of time if they had no female athletes meeting the entry standard for an athletics event—in the 200 metres.",325
Athletics at the 2020 Summer Olympics – Women's marathon,Summary,"The women's marathon event at the 2020 Summer Olympics started at 06:00 on 7 August 2021 in Sapporo. Peres Jepchirchir of Kenya won gold in 2:27:20 followed by world record holder and Kenyan teammate Brigid Kosgei with silver, and American Molly Seidel winning the bronze medal in only her third marathon race.
The race was moved north, from Tokyo to Sapporo because the latter is on average 4 °C (7 °F) cooler in August, as decided in 2019 by the IOC. The start had been moved an hour earlier to 06:00 for the same reason. The two cities turned out to have almost the same temperature, as Sapporo recorded 25 °C (77 °F) at 06:00 when the race started and 29 °C (84 °F) at 08:30.

The gifts for the competition were presented by Sebastian Coe, United Kingdom; World Athletics President.",199
Athletics at the 2020 Summer Olympics – Women's marathon,Qualification,"This was the 10th appearance of the event, having appeared at every Olympics since 1984. Eighty-eight athletes competed.
A National Olympic Committee (NOC) could enter up to three athletes in the women's marathon if all athletes met the entry standard or qualify by ranking during the qualifying period (the qualification period for ""Entry Standard"" (2:29:30) was from 1 January 2019 to 31 May 2021, with a maximum quota per NOC of 3.). The limit of 3 has been in place since the 1930 Olympic Congress.
The standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" Runners in the top 10 at the 2019 world championship, the top 5 at any IAAF Gold Label marathon, and the top 10 at the Marathon Major Series were deemed to have met the qualifying standard, regardless of actual time. The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 80 is reached. More than 80 athletes (after application of the 3 per NOC rule) have met the qualifying standard.
To be a qualifying performance, the course had to have been certified in the last five years by a Grade A or Grade B road course measurer. In order to be eligible for the qualifying standard time, the elevation decrease could not be more than 1 metre per kilometre. For world rankings, the elevation decrease could exceed that rate, but a correction would be made to the score.The qualifying period was originally from 1 January 2019 to 31 May 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 31 May 2021. The world rankings period start date was also changed from 1 January 2019 to 1 December 2018. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period. In July 2020, World Athletics announced that the suspension period would be lifted for the road events (marathons and race walks) on 1 September 2020.NOCs can also use their universality place—each NOC can enter one female athlete regardless of time if they had no female athletes meeting the entry standard for an athletics event—in the marathon.",509
Athletics at the 2020 Summer Olympics – Women's marathon,Competition format and course,"As for all Olympic marathons, the competition is a single race. The marathon distance of 26 miles, 385 yards (42.195 kilometers) was run over a course that started with two laps around Odori Park. The route next made a large loop (about half the marathon's length) through the streets of Sapporo, passing by Nakajima Park, Sapporo TV Tower, and Hokkaido University, and crossing the Toyohira River twice. The race then took two laps around a smaller (approximately 6.2 miles (10.0 km)) section of the large loop. The finish line was back at Odori Park.",136
Athletics at the 2020 Summer Olympics – Men's long jump,Summary,"The men's long jump event at the 2020 Summer Olympics took place between 31 July and 2 August 2021 at the Japan National Stadium. Approximately 35 athletes were expected to compete; the exact number was dependent on how many nations use universality places to enter athletes in addition to the 32 qualifying through time or ranking (1 universality place was used in 2016). 31 athletes from 20 nations competed. Miltiadis Tentoglou won the gold medal, Greece's first medal in the men's long jump. Cuban athletes Juan Miguel Echevarría and Maykel Massó earned silver and bronze, respectively, the nation's first medals in the event since 2008.",136
Athletics at the 2020 Summer Olympics – Men's long jump,Background,"This was the 29th appearance of the event, which was one of 12 athletics events to have been held at every Summer Olympics.
No nations made their men's long jump debut in 2020. The United States appeared for the 28th time, most of any nation, having missed only the boycotted 1980 Games.",67
Athletics at the 2020 Summer Olympics – Men's long jump,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's long jump event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard was 8.22 metres. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 32 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs could also use their universality place—each NOC can enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the long jump.Entry number: 32.",328
Athletics at the 2020 Summer Olympics – Men's long jump,Competition format,"The 2020 competition continued to use the two-round format with divided final introduced in 1952. The qualifying round gave each competitor three jumps to achieve the qualifying distance of 8.15 metres; if fewer than 12 men did so, the top 12 (including all those tied) advanced. The final provided each jumper with three jumps; the top eight jumpers received an additional three jumps for a total of six, with the best to count (qualifying round jumps are not considered for the final).",101
Athletics at the 2020 Summer Olympics – Men's 400 metres,Summary,"The men's 400 metres event at the 2020 Summer Olympics took place between 1 and 5 August 2021 at the Olympic Stadium. Approximately fifty athletes were expected to compete; the exact number was dependent on how many nations use universality places to enter athletes in addition to the 48 qualifying through time or ranking (3 universality places were used in 2016). 48 athletes from 33 nations competed. The event was won by Steven Gardiner of the Bahamas, with Anthony Zambrano of Colombia taking silver. Those were the first medals in the men's 400 metres for each of those two nations. Kirani James of Grenada won his third consecutive medal in the event with his bronze, making him the first man to earn three medals in the 400 metres.",151
Athletics at the 2020 Summer Olympics – Men's 400 metres,Background,"This was the 29th appearance of the event, which is one of 12 athletics events to have been held at every Summer Olympics.
For the first time in Olympic history, no nations made their men's 400 metres debut this Games. The United States made its 28th appearance, most of any nation, having missed only the boycotted 1980 Games.",74
Athletics at the 2020 Summer Olympics – Men's 400 metres,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's 400 metres event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 44.90 seconds. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 48 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the 400 metres.Entry number: 48.",328
Athletics at the 2020 Summer Olympics – Men's 400 metres,Competition format,"The event continued to use the three-round format introduced in 2004. There were 6 heats, with the top 3 in each heat and the next 6 fastest overall advancing to the semifinals. There were 3 semifinals, with the top 2 in each semifinal and the next 2 overall advancing to the final.",63
Athletics at the 2020 Summer Olympics – Women's hammer throw,Summary,The women's hammer throw event at the 2020 Summer Olympics took place on 1 and 3 August 2021 at the Japan National Stadium. Approximately 35 athletes competed; the exact number was dependent on how many nations use universality places to enter athletes in addition to the 32 qualifying through distance or ranking (no universality places were used in 2016).,70
Athletics at the 2020 Summer Olympics – Women's hammer throw,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the women's hammer throw event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 72.50 metres. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 32 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one female athlete regardless of time if they had no female athletes meeting the entry standard for an athletics event—in the hammer throw.",323
Athletics at the 2020 Summer Olympics – Women's hammer throw,Competition format,"The 2020 competition continued to use the two-round format with divided final introduced in 1936. The qualifying round gave each competitor three throws to achieve a qualifying distance (73.50 metres); if fewer than 12 women did so, the top 12 would advance. The final provided each thrower with three throws; the top eight throwers received an additional three throws for a total of six, with the best to count (qualifying round throws were not considered for the final).",97
Athletics at the 2020 Summer Olympics – Women's 4 × 100 metres relay,Summary,"The women's 4 × 100 metres relay event at the 2020 Summer Olympics took place on 5 and 6 August 2021 at the Japan National Stadium. There were 16 competing relay teams, with each team having 5 members from which 4 were selected in each round.",54
Athletics at the 2020 Summer Olympics – Women's 4 × 100 metres relay,Qualification,"A National Olympic Committee (NOC) could qualify a relay team of 5 athletes in one of three ways. A total of 16 NOCs qualified.
The top 8 NOCs at the 2019 World Athletics Championships qualified a relay team.
The top 8 NOCs at the 2021 World Athletics Relays qualified a relay team.
Where an NOC placed in the top 8 at both the 2019 World Championships and the 2021 World Relays, the quota place was allocated to the world ranking list as of 29 June 2021. In this case, 2 teams did so, so there are 2 places available through the world rankings.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.",228
Athletics at the 2020 Summer Olympics – Women's 4 × 100 metres relay,Final,"Jamaica won the gold medal in the third fastest time in history after the USA's gold-medal-final performances of the 2012 London Olympics (40.82), and 2016 Rio Olympics (41.01).",47
Athletics at the 2020 Summer Olympics – Men's 400 metres hurdles,Summary,"The men's 400 metres hurdles event at the 2020 Summer Olympics took place between 30 July and 3 August 2021 at the Olympic Stadium. 36 athletes from 26 nations competed.In what has been described as one of the greatest races in Olympic history, Karsten Warholm of Norway won, setting a new world record of 45.94 seconds. He beat his own previous record, set a month before, by 0.76 second; silver medalist Rai Benjamin of the United States beat the previous record by 0.53 second. Brazilian hurdler Alison dos Santos took bronze and would have bettered the almost 30-year-old Olympic record in the final by 0.06 second. The medals were the first ever in the event for both Norway and Brazil; the United States' podium streak in the event stretched to four Games.",168
Athletics at the 2020 Summer Olympics – Men's 400 metres hurdles,Background,"This was the 27th appearance of the event, which was introduced in 1900. It was left off the 1912 program, but has been contested at every Games since the post-World War I return of the Olympics in 1920.
The reigning world champion was Karsten Warholm of Norway. The reigning Olympic champion Kerron Clement of the United States did not compete.The British Virgin Islands competed in the men's 400 metres hurdles for the first time. The United States made its 26th appearance, most of any nation, having missed only the boycotted 1980 Games.",117
Athletics at the 2020 Summer Olympics – Men's 400 metres hurdles,Qualification,"Approximately forty athletes were expected to compete; the exact number depended on how many nations used universality places to enter athletes in addition to the 40 qualifying through time or ranking (1 universality place was used in 2016).A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's 400 metres hurdles event if all athletes met the entry standard or qualified by ranking during the qualifying period. (The limit of 3 had been in place since the 1930 Olympic Congress.) The qualifying standard was 48.90 seconds. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, was used thereafter to qualify athletes until the cap of 40 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020. Athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Only outdoor meets were eligible. The most recent Area Championships could be counted in the ranking, even if they didn't take place during the qualifying period.NOCs could also use their universality place—each NOC could enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the 400 metres hurdles.Entry number: 40.",376
Athletics at the 2020 Summer Olympics – Men's 400 metres hurdles,New records,"The following new World and Olympic records were set during this competition:

The following new Area (continental) records were set during this competition:

The following national records were set during this competition:",44
Athletics at the 2020 Summer Olympics – Women's 400 metres hurdles,Summary,"The women's 400 metres hurdles event at the 2020 Summer Olympics took place between 31 July and 4 August 2021 at the Japan National Stadium. 39 athletes from 25 nations competed.At the U.S. Olympic trials in June 2021, Sydney McLaughlin became the first woman to run the event in under 52 seconds, improving Dalilah Muhammad's world record of 52.16 secs to 51.90. In Tokyo, both women ran inside the world record, with McLaughlin winning the gold medal with a new world record time of 51.46, while 2016 Olympic champion Muhammad ran 51.58 for the silver medal. Dutch athlete Femke Bol broke the European record 
with 52.03 for the bronze, to move to third on the world all-time list. Another three national records (for Colombia, Belgium and Panama) were set during the competition.",177
Athletics at the 2020 Summer Olympics – Women's 400 metres hurdles,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the women's 400 metres hurdles event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 55.40 seconds. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 40 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one female athlete regardless of time if they had no female athletes meeting the entry standard for an athletics event—in the 400 metres hurdles.",325
Athletics at the 2020 Summer Olympics – Women's heptathlon,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the women's heptathlon event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 6420 points. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 24 is reached.The qualifying period was originally from 1 January 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both outdoor and indoor meets are eligible. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs cannot use their universality place in the heptathlon.",248
Athletics at the 2020 Summer Olympics – Women's heptathlon,Competition format,"The heptathlon consisted of seven track and field events, with a points system that awarded higher scores for better results in each of the seven components. The athletes all competed in one competition with no elimination rounds.",45
Athletics at the 2020 Summer Olympics – Women's heptathlon,Schedule,"All times are Japan Standard Time (UTC+9)
The women's heptathlon took place over two consecutive days, with 4 events on the first day and 3 events on the second day.",43
Athletics at the 2020 Summer Olympics – Men's 5000 metres,Summary,The men's 5000 metres event at the 2020 Summer Olympics took place on 3 and 6 August 2021 at the Japan National Stadium. Approximately 45 athletes competed; the exact number was dependent on how many nations use universality places to enter athletes in addition to the 42 qualifying through time or ranking (6 universality places were used in 2016).,70
Athletics at the 2020 Summer Olympics – Men's 5000 metres,Qualification,"A National Olympic Committee (NOC) could enter up to 3 qualified athletes in the men's 5000 metres event if all athletes meet the entry standard or qualify by ranking during the qualifying period. (The limit of 3 has been in place since the 1930 Olympic Congress.) The qualifying standard is 13:13.50. This standard was ""set for the sole purpose of qualifying athletes with exceptional performances unable to qualify through the IAAF World Rankings pathway."" The world rankings, based on the average of the best five results for the athlete over the qualifying period and weighted by the importance of the meet, will then be used to qualify athletes until the cap of 42 is reached.The qualifying period was originally from 1 May 2019 to 29 June 2020. Due to the COVID-19 pandemic, the period was suspended from 6 April 2020 to 30 November 2020, with the end date extended to 29 June 2021. The world rankings period start date was also changed from 1 May 2019 to 30 June 2020; athletes who had met the qualifying standard during that time were still qualified, but those using world rankings would not be able to count performances during that time. The qualifying time standards could be obtained in various meets during the given period that have the approval of the IAAF. Both indoor and outdoor meets were eligible for qualifying. The most recent Area Championships may be counted in the ranking, even if not during the qualifying period.NOCs can also use their universality place—each NOC can enter one male athlete regardless of time if they had no male athletes meeting the entry standard for an athletics event—in the 5000 metres.",326
Athletics at the 2020 Summer Olympics – Women's triple jump,Summary,The women's triple jump event at the 2020 Summer Olympics took place between 30 July and 1 August 2021 at the Japan National Stadium.The event was won by Yulimar Rojas of Venezuela: Her winning jump of 15.67 meters also broke the 26-year-old world record.,62
